time_s,vx_target,vx_actual,vx_error,vx_target_source,vx_actual_source,pitch_actual,pitch_actual_source,pitch_rate_q,pwm_mean,pwm_std,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,pwm_8,ctrl_vx_dX2Vx,ctrl_vx_var,ctrl_vx_delta,ctrl_vx_p,ctrl_vx_int,ctrl_vx_d,ctrl_ele_ffc,ctrl_theta_trim,ctrl_theta_var,ctrl_delta_theta,ctrl_theta_p,ctrl_theta_d,ctrl_ele_fbc,ctrl_ele_law_out
0.0,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
0.064,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
0.172,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
0.225,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
0.454,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
0.651,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
0.701,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
0.871,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
1.085,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
1.288,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
1.505,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
1.74,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
1.793,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
1.978,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
2.033,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
2.204,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
2.425,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
2.633,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
2.872,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
3.095,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.029999999329447746,states_theta,0.0010003705974668264,1.7149863811864753e-06,2.824801261769581e-06,2.690440150884986e-06,0.0,0.0,8.621378140007456e-06,0.0,2.408072758599361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,0.0,0.0
