time_s,vx_target,vx_actual,vx_error,vx_target_source,vx_actual_source,pitch_actual,pitch_actual_source,pitch_rate_q,pwm_mean,pwm_std,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,pwm_8,ctrl_vx_dX2Vx,ctrl_vx_var,ctrl_vx_delta,ctrl_vx_p,ctrl_vx_int,ctrl_vx_d,ctrl_ele_ffc,ctrl_theta_trim,ctrl_theta_var,ctrl_delta_theta,ctrl_theta_p,ctrl_theta_d,ctrl_ele_fbc,ctrl_ele_law_out
0.0,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.11999999731779099,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11999999731779099,0.0,0.0,0.0,0.0
0.101,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.11999999731779099,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11999999731779099,0.0,0.0,0.0,0.0
0.208,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.11999999731779099,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11999999731779099,0.0,0.0,0.0,0.0
0.264,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.11999999731779099,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11999999731779099,0.0,0.0,0.0,0.0
0.366,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.12999999523162842,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12999999523162842,0.0,0.0,0.0,0.0
0.469,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.12999999523162842,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12999999523162842,0.0,0.0,0.0,0.0
0.568,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.12999999523162842,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12999999523162842,0.0,0.0,0.0,0.0
0.669,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.12999999523162842,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12999999523162842,0.0,0.0,0.0,0.0
0.768,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.12999999523162842,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12999999523162842,0.0,0.0,0.0,0.0
0.868,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.12999999523162842,states_theta,0.011004079133272171,3.3015121311545824e-06,5.333733254783242e-06,0.0,1.797209167695573e-06,0.0,1.0232205547252338e-05,0.0,1.4382682334288747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12999999523162842,0.0,0.0,0.0,0.0
