time_s,vx_target,vx_actual,vx_error,vx_target_source,vx_actual_source,pitch_actual,pitch_actual_source,pitch_rate_q,pwm_mean,pwm_std,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,pwm_8,ctrl_vx_dX2Vx,ctrl_vx_var,ctrl_vx_delta,ctrl_vx_p,ctrl_vx_int,ctrl_vx_d,ctrl_ele_ffc,ctrl_theta_trim,ctrl_theta_var,ctrl_delta_theta,ctrl_theta_p,ctrl_theta_d,ctrl_ele_fbc,ctrl_ele_law_out
0.0,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.05999999865889549,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
0.059,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.05999999865889549,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
0.341,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.05999999865889549,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.05999999865889549,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
0.908,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.05999999865889549,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
1.353,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.05999999865889549,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
1.647,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.05999999865889549,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
1.971,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.05999999865889549,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
2.257,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.05999999865889549,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0
2.559,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.07000000029802322,states_theta,-0.004001482389867306,2.8205798925125465e-06,4.212450244019072e-06,0.0,6.818345258472573e-06,3.681455972956806e-06,0.0,0.0,1.2064837908670992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07000000029802322,0.0,0.0,0.0,0.0
