time_s,vx_target,vx_actual,vx_error,vx_target_source,vx_actual_source,pitch_actual,pitch_actual_source,pitch_rate_q,pwm_mean,pwm_std,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,pwm_8,ctrl_vx_dX2Vx,ctrl_vx_var,ctrl_vx_delta,ctrl_vx_p,ctrl_vx_int,ctrl_vx_d,ctrl_ele_ffc,ctrl_theta_trim,ctrl_theta_var,ctrl_delta_theta,ctrl_theta_p,ctrl_theta_d,ctrl_ele_fbc,ctrl_ele_law_out
0.0,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.32999998331069946,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999998331069946,0.0,0.0,0.0,0.0
0.101,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.32999998331069946,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999998331069946,0.0,0.0,0.0,0.0
0.158,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.32999998331069946,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999998331069946,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.3400000035762787,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400000035762787,0.0,0.0,0.0,0.0
0.31,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.3499999940395355,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0
0.412,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.3499999940395355,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0
0.512,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.3499999940395355,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0
0.622,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.3499999940395355,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0
0.712,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.3499999940395355,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0
0.813,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.3499999940395355,states_theta,-0.015005560591816902,1.7334835188578779e-06,2.846206850662665e-06,0.0,6.569241377853936e-07,0.0,5.846921350963694e-06,0.0,7.364022662113935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0
