time_s,vx_target,vx_actual,vx_error,vx_target_source,vx_actual_source,pitch_actual,pitch_actual_source,pitch_rate_q,pwm_mean,pwm_std,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,pwm_8,ctrl_vx_dX2Vx,ctrl_vx_var,ctrl_vx_delta,ctrl_vx_p,ctrl_vx_int,ctrl_vx_d,ctrl_ele_ffc,ctrl_theta_trim,ctrl_theta_var,ctrl_delta_theta,ctrl_theta_p,ctrl_theta_d,ctrl_ele_fbc,ctrl_ele_law_out
0.0,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.35999998450279236,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35999998450279236,0.0,0.0,0.0,0.0
0.067,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.35999998450279236,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35999998450279236,0.0,0.0,0.0,0.0
0.409,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.35999998450279236,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35999998450279236,0.0,0.0,0.0,0.0
0.743,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.3700000047683716,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3700000047683716,0.0,0.0,0.0,0.0
1.106,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.3700000047683716,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3700000047683716,0.0,0.0,0.0,0.0
1.436,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.3700000047683716,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3700000047683716,0.0,0.0,0.0,0.0
1.789,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.3799999952316284,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3799999952316284,0.0,0.0,0.0,0.0
2.174,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.3799999952316284,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3799999952316284,0.0,0.0,0.0,0.0
2.517,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.38999998569488525,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38999998569488525,0.0,0.0,0.0,0.0
2.855,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,0.38999998569488525,states_theta,0.02000741846859455,2.236074199934776e-06,3.5416220362964785e-06,0.0,5.405387012504315e-06,2.166588955888024e-06,0.0,0.0,1.031661763108587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38999998569488525,0.0,0.0,0.0,0.0
