timestamp,m1_error_count,m1_rpm,m1_power_pct,m2_error_count,m2_rpm,m2_power_pct,m3_error_count,m3_rpm,m3_power_pct,m4_error_count,m4_rpm,m4_power_pct,m5_error_count,m5_rpm,m5_power_pct,m6_error_count,m6_rpm,m6_power_pct
1769581159.7197292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581160.0137508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581160.3086455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581160.6061962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581160.905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581161.2011244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581161.503475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581161.80077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581162.0950766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581162.397068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581162.692409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581162.98929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581163.2859895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581163.582596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581163.877643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581164.1732926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581164.4669693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581164.760353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581165.0558078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581165.3501573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581165.6478908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581165.9464085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581166.2444549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581166.5395732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581166.833645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581167.130933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581167.425648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581167.7231278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581168.0180445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581168.3140492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769581168.609855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
