time_s,vx_target,vx_actual,vx_error,vx_target_source,vx_actual_source,pitch_actual,pitch_actual_source,pitch_rate_q,pwm_mean,pwm_std,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,pwm_8,ctrl_vx_dX2Vx,ctrl_vx_var,ctrl_vx_delta,ctrl_vx_p,ctrl_vx_int,ctrl_vx_d,ctrl_ele_ffc,ctrl_theta_trim,ctrl_theta_var,ctrl_delta_theta,ctrl_theta_p,ctrl_theta_d,ctrl_ele_fbc,ctrl_ele_law_out
0.0,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.09999999403953552,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.0,0.0,0.0
0.098,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.09999999403953552,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.0,0.0,0.0
0.162,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.09999999403953552,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.0,0.0,0.0
0.216,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.09999999403953552,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.10999999940395355,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999940395355,0.0,0.0,0.0,0.0
0.451,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.10999999940395355,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999940395355,0.0,0.0,0.0,0.0
0.657,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.10999999940395355,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999940395355,0.0,0.0,0.0,0.0
0.707,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.10999999940395355,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999940395355,0.0,0.0,0.0,0.0
0.903,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.10999999940395355,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999940395355,0.0,0.0,0.0,0.0
1.148,0.0,0.0,0.0,datactrl_ref_vx_fallback,datactrl_est_vx_fallback,-0.10999999940395355,states_theta,-0.007002596277743578,7.236192844398329e-07,1.2965280073257749e-06,1.5277317694330212e-06,0.0,0.0,3.894683949706217e-06,0.0,3.665385563794249e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999940395355,0.0,0.0,0.0,0.0
